City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
336,Lushoto,TZ,61.48,light rain,-4.78,38.28,Kakauona Resort
339,Shu,KZ,29.37,overcast clouds,43.6,73.76,Shyngyzkhan
340,Plettenberg Bay,ZA,63.03,light rain,-34.05,23.37,Thanda Vista B&B
343,Namibe,AO,74.53,scattered clouds,-15.2,12.15,Hotel Chik Chik Namibe
344,Peterhead,GB,39.99,clear sky,57.51,-1.8,Palace Hotel
345,Shelburne,CA,42.8,scattered clouds,44.08,-80.2,The Retreat at the Farm
346,Girne,CY,57.2,light rain,35.34,33.32,Lavanta Residence
349,Senekal,ZA,62.78,overcast clouds,-28.32,27.62,Hendersons Lodge
351,Damghan,IR,46.89,overcast clouds,36.17,54.35,خوابگاه اساتيد دانشگاه دامغان
352,Huarmey,PE,73.02,broken clouds,-10.07,-78.15,Hotel Miramar
353,Port Shepstone,ZA,73.85,overcast clouds,-30.74,30.45,My Den Beachfront B&B And Self-Catering
355,Mahon,ES,59.0,scattered clouds,39.89,4.27,ARTIEM Capri
359,Wexford,IE,50.0,overcast clouds,52.33,-6.46,Talbot Hotel Wexford
360,Sistranda,NO,33.8,clear sky,63.73,8.83,Hotell Frøya
362,Muyezerskiy,RU,21.83,broken clouds,63.93,31.65,"Gostinitsa Ooo ""Lzkh ""Ledmozerskoye"""
363,Coihaique,CL,50.0,light intensity shower rain,-45.58,-72.07,Diego De Almagro Coyhaique
364,Mashhad,IR,37.4,broken clouds,36.3,59.61,Almas 1 Hotel
365,Kushmurun,KZ,9.66,broken clouds,52.45,64.63,Gostinitsa Pri Depo
366,Awbari,LY,68.47,clear sky,26.59,12.78,فندق أوباري
367,Antofagasta,CL,69.8,clear sky,-23.65,-70.4,Holiday Inn Express Antofagasta
368,Kashi,CN,28.4,clear sky,39.45,75.98,帕米尔青年旅舍
369,Valparaiso,CL,66.2,clear sky,-33.04,-71.63,Hotel Ultramar
373,Holme,DK,35.6,clear sky,56.11,10.17,Helnan Marselis Hotel
374,Nieuwpoort,BE,46.4,clear sky,51.12,2.77,Hotel Gemeente Huis
375,Pilna,RU,34.0,light rain,55.55,45.92,Gostinnyy Dom
376,La Sarre,CA,30.61,light snow,48.8,-79.2,Motel Villa Mon Repos
377,Verkhniy Uslon,RU,24.8,light snow,55.77,48.98,Domik s bankoy
378,Kalia,BD,69.12,clear sky,23.04,89.63,সামিয়া এন্টারপ্রাইজ
379,Los Llanos De Aridane,ES,69.8,few clouds,28.66,-17.92,Valle Aridane
380,Ornskoldsvik,SE,30.2,scattered clouds,63.29,18.72,First Hotel Statt
384,Barcelos,PT,57.2,moderate rain,41.54,-8.62,Hotel Do Terço
389,Zvishavane,ZW,73.29,moderate rain,-20.33,30.07,Hotel Boutique Runde
391,Cullman,US,60.01,scattered clouds,34.17,-86.84,Days Inn by Wyndham Cullman
393,Campbellsville,US,46.99,clear sky,37.34,-85.34,Holiday Inn Express Campbellsville
399,Villafranca De Los Barros,ES,55.99,light rain,38.56,-6.34,HOTEL ACOSTA CIUDAD DE LA MUSICA
402,Iskateley,RU,14.04,overcast clouds,67.68,53.15,Hostel Agat
403,Bageshwar,IN,52.45,clear sky,29.85,79.77,Hotel pindar innn
405,Toguchin,RU,5.09,clear sky,55.24,84.39,Stolitsa
410,Hit,IQ,61.52,moderate rain,33.64,42.83,صالون زيرو
413,Ipatovo,RU,37.11,clear sky,45.72,42.9,Ipatovo Inn
414,Havre-Saint-Pierre,CA,30.2,overcast clouds,50.23,-63.6,Auberge Niapiskau
416,Carnarvon,AU,69.8,scattered clouds,-24.87,113.63,Hospitality Carnarvon
417,Tarn Taran,IN,60.8,mist,31.45,74.93,park avenue
418,Pafos,CY,57.2,scattered clouds,34.77,32.42,Elysium Hotel
420,Escanaba,US,39.99,clear sky,45.75,-87.06,Sunset Lodge
421,Geraldton,AU,60.8,broken clouds,-28.77,114.6,Broadwater Mariner Resort
422,Dalvik,IS,35.6,broken clouds,65.97,-18.53,Dalvík HI Hostel
423,Kemijarvi,FI,20.35,broken clouds,66.71,27.43,Hotelli Kemijärvi
424,Hofn,IS,37.49,overcast clouds,64.25,-15.21,Hótel Höfn
427,Kokstad,ZA,64.99,overcast clouds,-30.55,29.42,Majestic Bed and Breakfast
428,Jesup,US,60.8,overcast clouds,31.61,-81.89,Western Motel
429,Arkhipo-Osipovka,RU,50.63,clear sky,44.37,38.52,Zolotoy Kashtan Guest House
430,Yazykovo,RU,14.34,scattered clouds,55.22,56.14,Children's camp
434,Laguna,US,46.0,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
435,Muslyumovo,RU,20.5,overcast clouds,55.3,53.19,"""Kunakkhana"""
437,Dawlatabad,AF,43.9,broken clouds,36.41,64.91,WASIM ASGAR KHAN
439,Leyland,GB,46.99,overcast clouds,53.7,-2.69,Preston Leyland Hotel | Signature Collection by Best Western
440,Astana,KZ,8.6,snow,51.18,71.45,King Hotel Astana
442,Jaisalmer,IN,61.39,clear sky,26.91,70.92,Hotel Fifu
448,Chanika,TZ,70.81,clear sky,-5.42,38.02,New Rombo Green Hotel
449,Fort Walton Beach,US,72.0,broken clouds,30.41,-86.62,Best Western Ft. Walton Beachfront
452,Brae,GB,48.2,broken clouds,60.4,-1.35,Busta House Hotel
453,Podporozhye,RU,23.85,overcast clouds,60.91,34.17,U Maksimycha
454,Fereydun Kenar,IR,52.38,overcast clouds,36.69,52.52,Khezer Shahr Tourist Hotel
455,Andenes,NO,43.0,light rain,69.31,16.12,Hotell Marena
456,Atasu,KZ,14.04,light snow,48.68,71.64,Dostyk
457,Shurugwi,ZW,67.51,moderate rain,-19.67,30.01,Flame Lily Lodge
458,Kharan,PK,57.99,clear sky,28.58,65.42,Ghani Hasrat House
459,Puchezh,RU,30.31,snow,56.98,43.17,"Blue, holiday home"
460,Port-Cartier,CA,34.0,overcast clouds,50.03,-66.87,Le Q'Artier
461,Santa Cruz De La Palma,ES,69.8,few clouds,28.68,-17.76,H10 Taburiente Playa
462,Alekseyevka,RU,37.18,overcast clouds,50.63,38.69,Apartment on Ploshchad Pobedy
463,Villa Rica,US,63.0,scattered clouds,33.73,-84.92,Days Inn by Wyndham Villa Rica
466,Bani Walid,LY,66.54,clear sky,31.76,13.99,منزل الصابر أبوفانة
467,Saint Anthony,US,45.0,clear sky,45.02,-93.22,Holiday Inn Express Roseville-St. Paul
468,Aklera,IN,61.9,clear sky,24.42,76.57,hotel sangam palace
469,San Carlos De Bariloche,AR,60.8,scattered clouds,-41.15,-71.31,Hotel Patagonia
470,Wilmington,US,60.8,overcast clouds,34.23,-77.94,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
471,Jiwani,PK,74.19,clear sky,25.05,61.74,Al Mumtaz Transport Jiwani
474,Alakurtti,RU,18.25,scattered clouds,66.97,30.35,Agroturystyka Gientosław
477,Haguenau,FR,39.0,mist,48.82,7.79,KYRIAD DIRECT HAGUENAU
478,Abnub,EG,64.4,clear sky,27.27,31.15,مسجد الخطبة
483,Almunecar,ES,60.01,clear sky,36.73,-3.69,Almuñécar Playa Spa Hotel
484,Sabha,LY,68.07,few clouds,27.04,14.43,محطة ام الارانب -سبها مواصلات
485,Glossa,GR,63.0,few clouds,35.47,23.78,Elia Hotel & Spa
486,Faya,SA,60.8,clear sky,18.39,42.45,مقبرة ال مجمل
487,Chichawatni,PK,62.2,overcast clouds,30.53,72.7,امین فروٹ کمیشن شاپ
488,Necochea,AR,73.99,broken clouds,-38.55,-58.74,dyd -mar Hotel
494,Ninotsminda,GE,21.2,scattered clouds,41.26,43.59,Hotel - Ninotsminda
496,Aksu,CN,26.31,clear sky,41.12,80.26,Pudong Holiday Hotel
497,Marrakesh,MA,62.6,few clouds,31.63,-8.01,Les Jardins de La Koutoubia
499,Puerto Del Rosario,ES,71.6,few clouds,28.5,-13.86,Hotel JM Puerto del Rosario
500,Corinto,GR,57.0,overcast clouds,37.94,22.96,Ephira Hotel
501,Seydi,TM,35.83,broken clouds,39.48,62.91,Pidaraz mentler ketegi
502,Amot,NO,24.8,few clouds,59.57,7.99,Groven Camping og Hyttegrend AS
503,Khora,GR,60.01,scattered clouds,37.05,21.72,Hotel Melivoia
504,Gien,FR,48.0,scattered clouds,47.69,2.63,Villa Hôtel
505,Nurota,UZ,30.2,clear sky,40.56,65.69,Guest House Ruslan Nurata & Tours
506,Nantucket,US,51.8,overcast clouds,41.28,-70.1,Jared Coffin House
507,Palafrugell,ES,57.99,light rain,41.92,3.16,Hotel Garbi
508,Westport,US,55.0,scattered clouds,41.14,-73.36,Norwalk Inn
513,Bafq,IR,53.26,overcast clouds,31.61,55.41,Alamdar Hotel
514,Santa Maria Do Suacui,BR,73.6,light rain,-18.19,-42.41,Hotel do Vavá
516,Gornopravdinsk,RU,5.16,clear sky,60.05,69.9,Burovik
517,Romanovskaya,RU,39.88,broken clouds,47.54,42.03,Donskaya Volna
519,Barranca,PE,71.49,broken clouds,-10.75,-77.77,El Olivar Hospedaje
520,Carrickmacross,IE,48.99,overcast clouds,53.97,-6.72,Nuremore Hotel & Country Golf Club
521,Thompson,CA,14.0,light snow,55.74,-97.86,Burntwood Hotel
522,Balykshi,KZ,30.2,mist,47.07,51.87,Гостиница Golden Rose
524,Lagoa,PT,55.9,broken clouds,39.05,-27.98,Casa Das Faias
525,Raudeberg,NO,42.01,broken clouds,61.99,5.14,Nordre Silda.
526,Bonavista,CA,55.0,light rain,48.65,-53.11,Abbott's Bed & Breakfast
527,Colesberg,ZA,71.87,few clouds,-30.72,25.1,Bhelekazi Guesthouse
528,Moose Factory,CA,30.2,overcast clouds,51.26,-80.61,Moosonee Lilypad
529,Isoka,ZM,74.55,scattered clouds,-10.16,32.63,Musanchi Guest House
531,Hundested,DK,34.0,clear sky,55.97,11.87,Hundested Kro & Hotel
532,Vincennes,FR,50.0,clear sky,48.85,2.43,Mama Shelter Paris East
533,Benghazi,LY,66.06,clear sky,32.12,20.07,Tibesti Hotel
535,Nikolskoye,RU,33.8,overcast clouds,59.7,30.79,Tourist House - Sablino
539,Oyem,GA,74.37,overcast clouds,1.6,11.58,Commissariat de police
540,Atbasar,KZ,11.32,overcast clouds,51.8,68.33,"The Ritz-Carlton, Astana"
543,Islampur,IN,65.98,clear sky,26.27,88.2,Subham Hotel & Lodge
544,Oktyabrskiy,RU,20.89,overcast clouds,54.48,53.47,Уязы-Тау гостиница
547,Haifa,IL,60.8,clear sky,32.82,34.99,Dan Panorama Haifa Hotel
548,Volchikha,RU,23.13,overcast clouds,52.03,80.38,Gostinitsa
553,Le Pont-De-Claix,FR,45.0,broken clouds,45.12,5.71,PoMo Hotel & Restaurant
557,Korcula,HR,48.2,scattered clouds,42.96,17.14,Hotel Marko Polo
558,Kahta,TR,46.4,clear sky,37.79,38.62,Kommagene Hotel
559,Strelka,RU,7.12,clear sky,58.07,93.03,"Gostinitsa ""Angara"""
560,Tuscaloosa,US,60.8,clear sky,33.21,-87.57,Hampton Inn Tuscaloosa-University
561,Kentau,KZ,22.75,broken clouds,43.52,68.51,Homestay Betty's B&B
562,Blackpool,GB,46.99,broken clouds,53.82,-3.05,Britannia Metropole Hotel
567,Nirmali,IN,65.84,clear sky,26.32,86.58,Kali Mandir Suraj Hotel
568,Ivankiv,UA,33.8,mist,50.94,29.89,Отель Проминский Стадион
572,Ust-Tarka,RU,6.62,overcast clouds,55.57,75.7,Pearl of Siberia
578,Isilkul,RU,7.41,overcast clouds,54.91,71.27,Perekrestok Mini-Hotel
579,Sovetskiy,RU,9.32,clear sky,61.36,63.58,Apartment on Kievskaya 29
583,Medea,DZ,55.4,light rain,36.26,2.75,Hôtel M'Sallah
585,Rumonge,BI,73.98,light rain,-3.97,29.44,Iratiro Tours
586,Maloy,NO,44.6,broken clouds,61.94,5.11,Torget Hotell
587,Cahors,FR,55.0,broken clouds,44.42,1.33,EARL DOMAINES DELMAS
588,Ostersund,SE,26.6,broken clouds,63.18,14.64,Best Western Hotel Gamla Teatern
589,Shahr-E Babak,IR,54.09,overcast clouds,30.12,55.12,اقامتگاه گردشگری دوناdunagarden ecolodge
592,Madison,US,57.0,few clouds,34.73,-86.57,Embassy Suites by Hilton Huntsville Hotel & Spa
594,Grindavik,IS,33.8,overcast clouds,63.84,-22.43,Northern Light Inn & Max's Restaurant
595,San Lawrenz,MT,68.0,light rain,36.06,14.2,San Andrea Hotel
599,Kozhva,RU,11.73,broken clouds,65.11,57.05,Gostinicha IP Kayuda Olga Aleksandrovna
602,Ronne,DK,41.0,overcast clouds,55.1,14.71,Griffen Spa Hotel
604,Kjollefjord,NO,36.5,overcast clouds,70.95,27.35,Hotel Nordkyn
605,Dombas,NO,16.45,clear sky,62.07,9.12,Trolltun Gjestegård
607,Matay,EG,60.64,clear sky,28.42,30.78,Nag Aespen
611,Moura,PT,57.2,scattered clouds,38.14,-7.45,Hotel de Moura
612,Kalya,IN,69.8,scattered clouds,12.98,77.18,Boy's Stay for RAWE Programme
613,Arona,ES,73.4,scattered clouds,28.1,-16.68,Paradise Court
614,Horn,DE,39.0,broken clouds,51.87,8.95,Ringhotel Waldhotel Bärenstein
616,Sorland,NO,44.85,light rain,67.67,12.69,Sjybrygga fiskecamp
617,Luau,AO,68.11,overcast clouds,-10.71,22.22,Kimbo Hotel
618,Forio,IT,64.99,overcast clouds,40.73,13.86,Hotel Terme Providence
621,Gaya,IN,59.0,mist,24.78,85.0,Hotel Viraat Inn Gaya
622,Yarim,YE,56.05,light rain,14.3,44.38,جامع القحيزة
627,Kuryk,KZ,42.04,clear sky,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
628,Youghal,IE,51.01,fog,51.95,-7.85,Quality Hotel and Leisure Centre Youghal
629,Ventspils,LV,37.4,overcast clouds,57.39,21.56,Jūras brīze
630,Virginia Beach,US,62.6,overcast clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
635,Honningsvag,NO,37.81,overcast clouds,70.98,25.97,Nordkapp Vandrerhjem
637,Kristianstad,SE,33.8,scattered clouds,56.03,14.15,First Hotel Christian IV
639,Rampur,IN,60.17,clear sky,28.82,79.03,OYO 38687 Hotel Shivansh
640,Zatoka,UA,37.4,mist,46.07,30.47,"База отдыха ""Солнечная"""
643,Zaysan,KZ,25.52,snow,47.47,84.87,Gostinitsa Aray
646,Chimbote,PE,72.12,clear sky,-9.09,-78.58,Hotel Briliá
648,Vasilyevskiy Mokh,RU,32.81,light snow,57.01,35.92,"Kottedzhnyy Poselok ""Vasil'yevskoye"""
649,Nuuk,GL,26.6,broken clouds,64.18,-51.72,Vandrehuset
652,Hearst,CA,32.0,broken clouds,49.68,-83.67,Companion
