City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
563,Pozo Colorado,-23.49,-58.8,101.14,31,1,10.74,PY,2020-11-28 17:24:14,clear sky
564,Piacabucu,-10.41,-36.43,82.27,63,99,12.35,BR,2020-11-28 17:24:14,overcast clouds
565,Cap Malheureux,-19.98,57.61,75.99,77,5,7.0,MU,2020-11-28 17:24:14,clear sky
566,Korhogo,9.45,-5.63,91.29,32,31,4.03,CI,2020-11-28 17:24:14,scattered clouds
567,Nirmali,26.32,86.58,65.84,48,0,2.21,IN,2020-11-28 17:21:13,clear sky
568,Ivankiv,50.94,29.89,33.8,100,99,4.47,UA,2020-11-28 17:24:14,mist
569,Padilla,3.22,-76.31,82.4,58,40,4.7,CO,2020-11-28 17:24:14,haze
570,San Andres,12.58,-81.7,87.8,70,40,13.87,CO,2020-11-28 17:24:07,scattered clouds
571,Alto Araguaia,-17.31,-53.22,88.07,39,28,8.81,BR,2020-11-28 17:24:14,scattered clouds
572,Ust-Tarka,55.57,75.7,6.62,95,100,8.1,RU,2020-11-28 17:24:14,overcast clouds
573,General Roca,-39.03,-67.58,84.2,25,0,6.93,AR,2020-11-28 17:24:15,clear sky
574,Kesova Gora,57.58,37.29,26.87,99,95,7.56,RU,2020-11-28 17:24:15,overcast clouds
575,Buritizeiro,-17.35,-44.96,86.09,41,0,6.8,BR,2020-11-28 17:24:15,clear sky
576,Ambanja,-13.68,48.45,77.67,85,27,2.98,MG,2020-11-28 17:24:15,moderate rain
577,Altamira,-3.2,-52.21,86.0,70,75,6.93,BR,2020-11-28 17:24:16,broken clouds
578,Isilkul,54.91,71.27,7.41,95,100,8.59,RU,2020-11-28 17:24:16,overcast clouds
579,Sovetskiy,61.36,63.58,9.32,95,0,0.76,RU,2020-11-28 17:24:16,clear sky
580,Ituporanga,-27.41,-49.6,86.0,85,27,11.99,BR,2020-11-28 17:24:16,scattered clouds
581,Muzhi,65.37,64.67,6.69,92,4,6.02,RU,2020-11-28 17:24:16,clear sky
582,Male,4.17,73.51,78.8,88,20,2.24,MV,2020-11-28 17:24:16,few clouds
583,Medea,36.26,2.75,55.4,87,40,13.87,DZ,2020-11-28 17:20:00,light rain
584,Porto Velho,-8.76,-63.9,89.6,52,40,4.7,BR,2020-11-28 17:24:16,light rain
585,Rumonge,-3.97,29.44,73.98,78,71,3.09,BI,2020-11-28 17:24:16,light rain
586,Maloy,61.94,5.11,44.6,70,75,17.22,NO,2020-11-28 17:24:16,broken clouds
